User,comment
Awais Khan,chor
Mian Xubair,chor
Irfan Rashid,chor
Sajid SAji,chor
Anum Nasir,chor
Malik Aurangzaib,chor
Tariq Jalil,chor
MohammadAmin Munshi,chor
Sultan Haider,chor
Zain Siddiqui,chor
Rizwan Elahi,chor
BabEr ALi Khan,chor
Irfan Rafiq,chor
Amna Tahir,chor
Rubel Islam,chor
Zaffi Babu,chor
Sajad Wani,chor
Khadim Zahoor,chor
Shamsullah Kakar,chor
Muhammad Iqbal,chor
Bashir N.,chor
Mahvash Wali,chor
Zaffi Babu,chor
وارث بلوچ,chor
Yahya Kaleem Rph,chor
Zaffi Babu,chor
Saladin Ahmed,chor
Saurabh Sharma,chor
Suhail Ahmed,chor
Pasha Khan,chor
Sarfraz Hussain Rao,chor
Ghayas Ali Hashmi,chor
Shoaib Raza,chor
Aayan Muhammad,chor
Rehman Aziz,chor
Danish Shakil,chor
Syed Khuram Bukhari,chor
Azfar Khaan,chor
Abubakr Siddique,chor
Iftikhar Ashraf,chor
Aftab Ahmed,Chor
Mirza Afzal,Chor
Mannan Ahmed Khan,Chor
Aayan Muhammad,Chor
Zia Khan,Chor
Aftab Ahmed,Chor
Aftab Ahmed,Chor
Ali Ahmed,Chor
Muhammad Sabir,Chor
Amin Younus,chor
Aysha Sattar-Imran,chor
Suhail Ahmed,chor
Neeli Khan,chor
Qasim Mirza,chor
Jam Mushtaq Ahmad,chor
Reghuthaman NP,chor
Fareeha Junaid,chor
Junied Shaikh,chor
Andleeb Waizi,chor
Wasim Ahmad Khan,chor
Zaffi Babu,chor
Surya Kant Srichandan,chor
Muhammad Shahzad,chor
Zaffi Babu,chor
Peerzada Umar,chor
Dawn New,chor
Arif Lone,chor
Zia Khan,chor
Ambreen Malik,chor
D Sher Sultan,chor
D Sher Sultan,chor
Farhan Shah,chor
Sheharyar Kaleem,chor
Kashif Abbas,chor
Farid Khan,chor
Malik Aurangzaib,chor
Rehan Mushtaq,chor
M R Ismail,chor
M Ahsan,chor
قانع داوړ,chor
Muhammad Ilyas,chor
Zubair Ahmed Ansari Ysr,chor
Waqar Hussain,chor
Sylvia Jaffery,chor
Anila Mastani,chor
Tabassum Khan,chor
Junaid Naeem,chor
BabEr ALi Khan,chor
Bilal Iftihkar,chor
Muhammad Tariq,chor
Aftab Ahmed,chor
Umar Gujjar,chor
Muhammad Sheraz,chor
عامر راٹھور,chor
Nighat Zahid,chor
Arsalan Ahmed,chor
Numan Hameed,chor
Awais Khan,chor
Awais Khan,chor
Awais Khan,chor
Awais Khan,chor
Muhammad Asim Abbasi,chor
Ali Javed,chor
Hassam Malik,chor
Noora Zulfiqar,chor
Emran Khaan,chor
Muhammad Jahangir,chor
Bilal Ahmed,chor
Asma Naureen,chor
Khyal E Yar,chor
Muhammad Haseeb Khan,chor
EN Kay,chor
Mudassar Ghafoor,chor
Syed Arslan Haider,chor
Muhammad Haleem,chor
Iftikhar Ud Din,chor
Sharif Ullah Khattak,chor
Adnan Bashir,chor
Saad Haroon,chor
Arshad Iqbal,chor
Usman Ali,chor
Fawad Ali,chor
Aamir Raza,chor
Mehar Wali Shah,chor
Scholar Gipsy,chor
Sajjad Ullah,chor
Malak Aftab Kasi,chor
Feeda Mhd,chor
Wasim Qadir,chor
Qudoos Gadani,chor
Ilyas Khan,chor
Babar Waseem,chor
Khalid Abbas,chor
Peer Afridi,chor
Sana M Uppal,chor
Ikram Malik,chor
Zubair Sahota,chor
Muhammad Asim,chor
UmAr Zia,chor
Mazhar Shahzad Ch,chor
Tayyab Yamin,chor
Noor Hassan Baloch,chor
Raja Sajjad,chor
Ebrar Khattak,chor
Umair Khan,chor
Optimistic Khan,chor
صدائے جمعیت,chor
Ikram Malik,chor
Waqar Ansari,chor
Jawad Khan,chor
Irfan Khan,chor
Arif Bangash,chor
Asif Soomro,chor
Jamal Wathra,chor
Humaira Asadulla,chor
Ahmed Mustafa,chor
Ali Sarfraz,chor
Usman Khan,chor
Elyas John,chor
Tajammul H. Anwar,chor
Tauqeer Kakakhel,chor
Shujaat Ali,chor
Danish Khan,chor
Aftab Iqbal,chor
Zubeida Khatoon,chor
Mohammad Ahmed,chor
Ehmer Mughal,chor
Hasan Rizvi,chor
Zain Khan,chor
Sofia Khalid Mian,chor
Ãqib Khan,chor
Yasin Nizam,chor
Majid Ali,chor
Mehar Shahid,chor
Muhammad Ali,chor
Abdus Subhan,chor
Naveed Ahmad,chor
Hunain Ali,chor
Nisar Ahmed,chor
Shahzad Hussain,chor
Fakher Emran,chor
Jalal Mughal,chor
Abid Ali Khan,chor
عدیل احمد,chor
Danial Ahmad,chor
Abdur Rehman Mishwani,chor
Tanvir Hassan,Chor beti chor baap
Wajid Hashmi,"Chor ki awld don’t step in kpk,sharam karo"
Azar Hussain Shah,Chor ki bchi
Oan Abbas,Chor ki beti
Foramen Luschka,chor party.... looters
Haider Sajjad,Chore
Yasir Khan,Chori bacho sentiment
Muhammad Zauq,Chorni
Adil Zaman,Chorni
Maxhar Subhan,Chorni
Abdul Jabar,Chorni
Faizan Arif,Chorni
Haris Samad,Chorni
Khawaja Hamza,Chorni
Tayyba Hussain Saeed,Chorni bagori
Adeel Ahmed,Chorni bagori
Mirwais Khan,chorni nageen
Maher Adeel,Chorni tum ulta bhi latak lo Imran Khan ka kuch nhi bigar sakti.  Tum hamesha dhakay khayo gi chorni
Syed Muhammad Ali Gillani,Chorni with all group of chor
MJ Khurshid,Chornii
Liaqat Hassan Qureshi,Choro ka maal wapis karo baat katam aab choro maaf tu nhe hogi na
Faisal Hayat,Choro ke suno Chor jutey pmln ppp pdm Chor
Ali Mohiuddin Ahmed,Choro ki bati
Maher Adeel,Chuloo bhar paani me doob maro
Ali Abbas,chup chakkai
Ask Kha,Chup kar Chooooooooorni !
Firah Bhatti,Chutya salacomedy show chal rha hy
Zain Ali,Chwala marta thy m pakistan ko ya kar do gy wo kr do gy itna manoss aya pakistan m ya Imran Khan monoss
Azfar Khaan,CIVILIAN SUPERMACY THE ONLY SOLUTION.
Fayyaz Tareen,Civilian supremaciy will not come until we have these looters corrupt incompetent  liar politicians they all born in the lap of stablishment now they disown them so they talking abt civil supremaciy our politians political parties needs to get their ac…
Aqil Khan,"Clerics need to be confined till mosques and seminaries, they need to stop meddling with the state’s affairs. Pakistan’s lacking new leadership, only a handful of families keep on introducing political leaders as if it’s monarchy."
Ayaz Zehgeer,Closing note
Nimra Badar,Come on (Chai pani) is waiting for you in GHQ
Ankit Patel Sharma,"Come on dawn come up with sth brand new. Old content, or sometime same thing with interchanged sentences, what nonsense is this."
Arshad Khan,Come on maryam say something about youth and development... What nonsense u r talking about chairs .. And Lahore....😐
Zubair Hyder,Come on Maryam say something useful. Nonsense utter
Khizar Hayat,"Come what may, Fazal Rehman is  determined to destabilise the country at all costs because he has been fully paid  by the corrupt of the corrupts & enemies of Pakistan."
Arif Hussain,Common countrymen are unable to understand whether you are the divine or the devil. But we think you are the latter.
Hina Tahir,"COMPETANCE,HONESTY AND DETERMINATION ARE THE REAL PILLARS OF SUCCESS,BILLY THE KID IS NOTHING BUT A TIK TOK VERSION OF REAL POLITICS LONG AND HARD WAY TO GO FOR THIS CRYING BABY..!!!"
Ahsanullah Khan,Confidence ho to aisa !
Rohan R S Sunshine,"Conglomerate of dacoits,thieves,thugs and fraudsters"
Syed Murtaza Shah,Congrats
Irfan Khan Khattak,Congratulations
Faisal Rauf,Congratulations to PDM
Sajjad Hussain,Congregation
Shahid Lashari,Congress for huge pdm croud keep it up
Sardar Faiq,"Conquering for ""Kursi"" is called Jihaad In Molana's mind"
Syed Shuja Hussain,Convicted absconder Nawaz Sharif is a dead horse.
Favad Qaisar,Corona ki CUSMELUN
Umer Khan,Correction: Govt will go home in Jan 2023: Billo is right
Tariq Jamshaid,Corrupt politicians
Farrukh Shamim,couple of days in lock up he will be rebooted
Nida Niazi,Covid 18 hahahahahaha
SJ Ali Bukhari,Covid 18🤣🤣🤣🤣🤣
Shahzad Hussain,Covid se In ma se koi bhi mara to rooz-e-hashar yei log apkay galay ajeingy.
Ghayas Ali Hashmi,Criminal
Hamza Aki,Cut Cut.. Take 2!
Qaisar Saleem,Dakoo ke beti
Uwais Mòhãmmed,Dakuuuuu Raniiiii...Maryammm Naniiiii🤣🤣🤣🤣🤣
Nazir Khan,dance naahi kiyaa billo ne
Muhammad Irfan,Daughter of Daaku
Maher Adeel,Daughter of lion
Brock Smith,Daughter of Pakistan
Hafiz Khalid Hussain,DAWN gutter
Hina Amir,DAWN gutter why you missed that they failed to answer a single question and Fazl spoke in such derogatory way to reporters asking questions and then went away without answering further questions?
Omran Bakhsh,Dawn is lol
Ali Waheed,DAWN is Musawat now..Great gutter
Jameel Khan,Dawn news enjoing more this than opposition looters
اchorرف حسین,Dead end for PDM. Everyone knows they are on self destruct mode.
Muhammad Masood,"Dear Lady Chorni, Please add something new in the script."
Mukhtar Azam Shah,Declaring jihad for self interest.
Fayaz Khan,"Definitely something is common between them. One studied from London, and other is fugitive in London"
Abdul Sattar Khan,Delusional idiot
Shams Baig,Democracy will continue to defeat dictatorship
Sheikh Mohammad,Democracy zindabad
Waseem A SanjRani,Democratic leaders are brave
Azaiñ Butt,Deserves a kick in the backside for all his hollow sounding statements.
Ameer HamZa,Dhunadaar khitaab karte karte bechari nani khud dhuan ban k urr jaiegi😀😁😂
Zakir Ullah,Did Quaid e Azam lecture to use tax money for personal interest and buy properties abroad and leave nation starving?
Sufiyan Qureshi,Didn't know the Quaid vision was to loot the nation's money and than ran from Pakistan
Ahsanullah Soomro,"Diesel himself is top corrupt,    always supported who paid him.    Give him a seat and he will support iK.     Liar and corrupt."
Xeno Tajammul,Diesel Molvi famously called should refrain from his tactics which he's trying to use against IK. PTI is enough for u fraudsters and marons.
Asghar Khan,Diesel won't be able to hide his corruption. This corrupt mullah will meet his end soon. His last days will be in the prison for his rampant corruption and comment against the state on the behest of his masters who are paying him. He is a soulless thin…
Luqman Ehmad,digital khusre
Moomin Ahad Wani,Dirty politicians.
Arsalan Husane,DIS LIKE THIS VIDEO
Mohammad Mushtaq,Diseal
Maher Adeel,Dispatch them to Guantanamo bay .
Mansoor Behrani,"disqualified ex PM, mujey q nikala"
Baseer Ullah,Divide these people in to 11 equal parts
Sajjad Hussain Sumra,Dn worry march senate elections will take place on time. We understand your desperation
Fahad Ahmed,"Do He Even Know The Meaning Of ""Jihad"" His Focus Is Just To Get Access To The Chair Of Power By Any Means."
Rao Azeem Yaseen,Do you think such news are in favour of pakistan. Does such a jihad needs sharing by DAWN. For God sake have pity on this nation.
Shoukat Beg,"Does this radical man even know what is  ""jihad"" Actually?"
Ŕàfíùďdin Khan,dohri personality
NaSir Ali,"Don't fool people in the name of beared, we have Javaid qureshi here in IOK"
Umar Nawaz Khan,"Dont use innocent ppl in the name of Jihad & Islam, do your dirty politics out side from the bracket of Islam, please dont make mockery of this state!"
Shahmeer Ali Khan,"Don't worry Whatever he says, but it's crystal clear wat he means. Protection of looted stuff here and abroad, overseas properties and investments, fake accounts and poor people money laundered abroad, creation of rift in army and judiciary and chaos i…"
Shajia Syed,Doooor tak koi nai hay tum logo nay phaly bhi paysay nahi deay logo ko
Pushpendra Khandelwal,door tak log nazar ni aa rahe...😃😃😃
Abdur Rahman Tajakzai,Door tk koi ho ga to nazr aie GA na
Aijaz Ahmed Memon,Dr paisy k leay jeety  marty ha
Riaz Khan Mehsud,Dramy bazi kr ry hain
Sinaan Khalid,Dumping excess fuselage
Riaz Khan Mehsud,"Earlier, he used the same term against ""lassi"""
Qazi Junaid,"Endangering lives of poor people, disgusting and inhumane."
ابوبكر عزام,Esko plz koi aik seat hi de dy
Syed Shahab Ahmad,Eunuch!!!!
Muhammad Ebne Muhammad Ali,Even chattur is laughing over him
chorاہ زیب امان,Every day they are going home after duty so what?
Khalid Aziz Khan,Every Pakistani knows Imran Khan is honest leader.
Syed Mohammed Asif Rizvi,Every time I listen her....I find her irritating
Zahid Iqbal,Exactly Mashallah congrats
Muhammad Asim,Exactly there is no relief for the poor people. No justice for the missing persons no idea about the Education system that it must be improved no focus Health and many more issues. They only know one thing that is criticism on opposition never listen o…
Tanzeel Ahmad,Excellent
Faryal Naeem,expectation
Ishaq Siddiq,Expired mix achaar Pakistan Dakoo Mela (PDM)
Kamran Khan,Eye  test  kra  lo  kurciyan  nazar  aajaein  gee.
Shehla Younas,Failed hopes of dawn news from failed PDM
Qudoos Gadani,Fantastic
Asad Ullah,Fantastic view
Sultan Mahmood,Fasad hai ye or fazlo kharji hai
Faisal Ladak,Fauj ke talwe chatne wale ARY new media
Irum Khan,Fauj ke talwe chatne wale ARY new media
Mansoor Kaleem,Fazal ur Rehman has no shame
Choudhary Shujat Ali,Fazalur rehman what is going on
Hamza Khan,Fazloo jahan teri shakal aye gi wahan freshness kesay aye gi
Muhammad Asim,Fazloooo Fazole ko koi cleaning ki hi ministry day doo
Rashid Nadeem,Fight foe democracy
Sunny Khan,First it should have declare it GENDER .
Kacho Sajid Ali,First of all make manifesto for PDM than do what you want...
Noreen Faryad,First sacrifice would be faxulrehman and his son to give this jehad a barakat may him and his sons soul rest in peace
Imad K,First you set your speaking style then think about people.
Sohail Asghar,Flim na sunao yar ma ani waha sy he gzr kr aha ho
Jawariya Hussain,floop jalsa
Mohammed Ameen,Flop ho giya kia? Haha ha  haha..
Peace Seeker,Flop jalsa
Rohail Khan,Flop PDM movie.
Yasir Khan,Flop pdm show
Hamza Ibrahim,Flop show
Arsalan Younus,Flop show.real leader Imran khan
Sarwar Jan,Follow the rule
Asma Mehnaz Mehdi,Foolish woman
Zeeshan Mehdi,"For lot of us, PDM is only for entertainment, which we witness in Gilgit-Baltistan."
Syed Raja Adeel,"For the PERSONAL BENEFIT you can use any religious card as you please..... that's why there is a famous quote with little modification from my side "" WHEN IT COMES TO MONEY AND POWER THEN EVERYBODY IS OF THE SAME RELIGION......"
Rezwan Khan,"Forthcoming Prime Minister of Pakistan, Wait and Watch"
Abid Siddiq,Fradioooo jhooty
Muhammad Shaffin,Fraud Maulana is known to every one . No one in General public like him  and known as most dishonest politician .
Naseem Bergau-Khan,Fraudy insan hai ye.... Politics ki Musarat shaheen hai ye...
MuAaz AhmAd,"Freedom from poverty and a democratic government? And the person demanding freedom is Chairman of PPP having government in Sindh from last 13 years, so lets just get answer from your government first, have you given freedom to the people of Sindh from …"
Atif Ali,Fresh! Charter of democracy. Created to serve (so called) PDM.
Yasmin Hussain,Full flop jalsa hoa hai
Aibak Khan,fully floop jalsa ..........
Rubab Saleem,Funkar
Sardar Aamir Zaman,Funny March 🤣🤣🤣
Osama Sadiq,Funny thing is there is huge crowd in Jalsa but the vote bank is still beyond expectation of low...coz ppl came only for listening their jokes & Time pass....Shame on all PDM...
Muhammad Ammar Iqbal Thakur,Future of PDM is dark because the head of PDM has no locus standi in the parliament.
Surender Kumar Pruthi,G
Bilal Shah Mashwani,G ooye
Shahid Baig,Gahdaar ho tum
Atta Hussain,Ganddi aurat
Majid Khurshid,Garage
Javeria Hashmi,GB elections
Kasim Faridi,Geedar shareef wapis aaein and phr apko container PTI k supporter khud dilwaeinge Islamabad jalsay k liye
Owais Jeewanjee,Genetically inhereted politician whose only ability is to shoout by opening big mouth ..
Aitraf Shah,Geo
Fazal Haq Wazir,Geooo
Uẑằḭṝ ßãḽoḉẖ,"Get Imran Khan to play Imran Khan , he needs extra money to pay off his office’s electricity bills."
Anum Abdulwahab,Get lost u fuzool ka Maulana.  What have u given to even your own constituents? Nil
Sumera Anniyah,Getr
Arshid Rayoo,Ghando speaking
Abu Talha Salarzai,"Give molvi some halva, he will forget everything"
Muhammad Ilyas,Go
Amna Zaviyar,Go away maroon...you are equally like him
Syed Mohsin,go f**ka yourself
Abdullah Amir,GO IMRAN GO
Measum Abbas Dayal,GO IMRAN KHAN NIAZI GO
Waseem Ul Haq,Go Mariyum Go
Mohammad Khaqan,Go maryam go
Imran Asghar,GO Nawaz GO
Syed Sheheryar,Go Nawaz Go
Ubaid Ur Rehman Khan,go nawaz go
Azeem Saleem,Go Niazi and Bajwa company Go
Tanvir Rahat,Go Niazi go
Abdul Qayyum Ahmed,Go Niyaziii go
Muhammad Waseem,Go Niyaziii go
Rizwan Ramzan,Go slected go
Irfan Ali Kaheri,Go to Hazara if people's lives matter to you more than your petty politics!!!
Sajjid Usman,"GO TO HELL PDM, Looter Party"
